student_id,age,gender,major,academic_year,session_id,timestamp,heart_rate,eye_gaze_focus_level,head_nod_count,body_posture_score,speech_frequency,environment_noise_level,content_topic,duration_minutes,quiz_score,engagement_level
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:00:00,70.19554083600157,1.0,1,0.7038001400154076,1,47.34842104417301,Ethical Reasoning,45,7,Medium
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:00:10,72.82894930209207,0.6301499638537729,4,0.8560696823803793,1,34.05186847565734,Ethical Reasoning,45,7,Medium
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:00:20,72.35444302841307,0.5579851807131704,3,0.7633997729289498,1,46.4156099171085,Ethical Reasoning,45,7,Medium
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:00:30,73.71789547935293,0.5788061905009614,1,1.0,3,50.51273369301534,Ethical Reasoning,45,7,Medium
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:00:40,76.45499656066738,0.9812304549033488,2,0.2655464682174194,0,46.224727362025085,Ethical Reasoning,45,7,Low
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:00:50,72.95285634277126,0.7292230271884869,3,0.4807221888863453,2,41.32357922139976,Ethical Reasoning,45,7,Medium
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:01:00,78.30449287915866,0.6092544399681042,2,0.8812540577798548,2,44.46133201981248,Ethical Reasoning,45,7,Medium
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:01:10,72.83577648292123,0.8252783330944049,2,0.4719819423534998,1,50.265991941556855,Ethical Reasoning,45,7,Medium
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:01:20,78.6341184863096,0.5916548500470161,0,0.9618717428197232,2,42.50305971326025,Ethical Reasoning,45,7,Medium
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:01:30,69.70465529113346,0.5690795788760342,2,0.6319959492291604,0,46.42574112173936,Ethical Reasoning,45,7,Low
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:01:40,82.82741390833874,0.7619870346318511,2,0.5662311862823441,2,40.04198543052442,Ethical Reasoning,45,7,Medium
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:01:50,74.82774603059984,0.3158297653133012,3,0.4421180935070435,3,45.68967000524791,Ethical Reasoning,45,7,Low
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:02:00,77.85880874549672,0.8522626633336544,1,0.6991034769144836,2,39.41838422040205,Ethical Reasoning,45,7,Medium
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:02:10,65.69628135379118,0.859862621279176,1,0.4483946843838778,3,41.68309178755933,Ethical Reasoning,45,7,Medium
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:02:20,70.39116045106705,0.6899257497184336,5,1.0,1,48.86731520352858,Ethical Reasoning,45,7,Medium
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:02:30,73.92622238453856,0.7041447444007648,3,0.2194910971064755,2,49.16037810958453,Ethical Reasoning,45,7,Medium
2025001,24,male,Law,1,S2025001_1,2024-04-21 09:02:40,71.0378895145592,0.6095099203975037,5,0.5737282401608625,1,39.48572689790697,Ethical Reasoning,45,7,Medium
